iter	Passed	Remaining
408	1539	2224
409	1542	2220
410	1545	2215
411	1548	2209
412	1551	2205
413	1555	2201
414	1558	2196
415	1562	2193
416	1565	2189
417	1568	2184
418	1572	2180
419	1576	2177
420	1580	2174
421	1585	2172
422	1589	2168
423	1592	2163
424	1596	2160
425	1600	2156
426	1604	2152
427	1607	2148
428	1612	2146
429	1617	2144
430	1621	2141
431	1625	2136
432	1628	2132
433	1633	2130
434	1636	2125
435	1639	2121
436	1643	2117
437	1646	2112
438	1649	2107
439	1653	2104
440	1656	2099
441	1660	2096
442	1665	2094
443	1669	2090
444	1673	2087
445	1676	2082
446	1680	2078
447	1683	2074
448	1685	2068
449	1689	2064
450	1692	2060
451	1696	2056
452	1700	2052
453	1702	2048
454	1705	2042
455	1708	2037
456	1710	2032
457	1713	2027
458	1716	2023
459	1720	2019
460	1724	2015
461	1728	2013
462	1733	2010
463	1737	2006
464	1739	2001
465	1742	1996
466	1745	1991
467	1747	1986
468	1750	1981
469	1753	1976
470	1755	1971
471	1758	1966
472	1760	1961
473	1763	1956
474	1766	1951
475	1768	1947
476	1771	1942
477	1773	1937
478	1776	1932
479	1779	1927
480	1782	1922
481	1784	1917
482	1787	1913
483	1790	1908
484	1792	1903
485	1795	1898
486	1797	1893
487	1799	1888
488	1802	1883
489	1805	1878
490	1807	1873
491	1810	1869
492	1813	1864
493	1815	1859
494	1818	1855
495	1820	1850
496	1823	1845
497	1825	1840
498	1828	1835
499	1830	1830
500	1833	1826
501	1836	1821
502	1839	1817
503	1841	1812
504	1844	1807
505	1846	1803
506	1849	1798
507	1852	1794
508	1855	1789
509	1858	1785
510	1861	1781
511	1864	1776
512	1867	1772
513	1869	1767
514	1872	1763
515	1875	1759
516	1878	1754
517	1880	1749
518	1883	1745
519	1885	1740
520	1888	1736
521	1891	1731
522	1894	1727
523	1897	1723
524	1900	1719
525	1903	1715
526	1906	1711
527	1909	1706
528	1911	1702
529	1914	1698
530	1917	1693
531	1920	1689
532	1926	1687
533	1932	1686
534	1936	1683
535	1939	1679
536	1943	1675
537	1946	1671
538	1951	1668
539	1955	1665
540	1960	1663
541	1965	1661
542	1972	1660
543	1978	1658
544	1984	1656
545	1989	1653
546	2005	1661
547	2017	1663
548	2019	1659
549	2023	1655
550	2026	1650
551	2028	1646
552	2031	1642
553	2034	1638
554	2037	1633
555	2040	1629
556	2043	1625
557	2046	1620
558	2049	1616
559	2052	1612
560	2057	1609
561	2062	1607
562	2064	1602
563	2068	1598
564	2072	1595
565	2076	1592
566	2081	1589
567	2086	1586
